Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.4660878806180604
75% Corpus,2,0.01,0.31,0.45734069154292534
75% Corpus,2,0.01,0.61,0.4354080416793176
75% Corpus,2,0.01,0.9099999999999999,0.3978611143121359
75% Corpus,2,0.01,symmetric,0.4692420313437577
75% Corpus,2,0.31,0.01,0.4761667194839524
75% Corpus,2,0.31,0.31,0.5116271310787273
75% Corpus,2,0.31,0.61,0.45251263002684894
75% Corpus,2,0.31,0.9099999999999999,0.4500036168012723
75% Corpus,2,0.31,symmetric,0.4814057344077787
75% Corpus,2,0.61,0.01,0.4402740414126305
75% Corpus,2,0.61,0.31,0.45293929412065226
75% Corpus,2,0.61,0.61,0.5023296352536928
75% Corpus,2,0.61,0.9099999999999999,0.5023296352536928
75% Corpus,2,0.61,symmetric,0.5003151209723313
75% Corpus,2,0.9099999999999999,0.01,0.45393949116373933
75% Corpus,2,0.9099999999999999,0.31,0.45119874517593617
75% Corpus,2,0.9099999999999999,0.61,0.4791711003914835
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4677164802470924
75% Corpus,2,0.9099999999999999,symmetric,0.4612948725669245
75% Corpus,2,symmetric,0.01,0.4362560040657146
75% Corpus,2,symmetric,0.31,0.45325649286719827
75% Corpus,2,symmetric,0.61,0.49953101196138033
75% Corpus,2,symmetric,0.9099999999999999,0.5023296352536927
75% Corpus,2,symmetric,symmetric,0.49850874165008363
75% Corpus,2,asymmetric,0.01,0.381860942104571
75% Corpus,2,asymmetric,0.31,0.33992510515255564
75% Corpus,2,asymmetric,0.61,0.30518427648490803
75% Corpus,2,asymmetric,0.9099999999999999,0.320743797099072
75% Corpus,2,asymmetric,symmetric,0.30518427648490803
75% Corpus,3,0.01,0.01,0.45239360997203554
75% Corpus,3,0.01,0.31,0.47018822013039396
75% Corpus,3,0.01,0.61,0.4603918099510136
75% Corpus,3,0.01,0.9099999999999999,0.4352299699709725
75% Corpus,3,0.01,symmetric,0.44018448550352945
75% Corpus,3,0.31,0.01,0.4559673375957054
75% Corpus,3,0.31,0.31,0.4442566634653124
75% Corpus,3,0.31,0.61,0.3700429127104122
75% Corpus,3,0.31,0.9099999999999999,0.3665743812570659
75% Corpus,3,0.31,symmetric,0.4442566634653124
75% Corpus,3,0.61,0.01,0.4550222734798128
75% Corpus,3,0.61,0.31,0.4695351552243781
75% Corpus,3,0.61,0.61,0.4619584515731079
75% Corpus,3,0.61,0.9099999999999999,0.4627724874859435
75% Corpus,3,0.61,symmetric,0.47504509164745645
75% Corpus,3,0.9099999999999999,0.01,0.44581581096411727
75% Corpus,3,0.9099999999999999,0.31,0.48335408851447353
75% Corpus,3,0.9099999999999999,0.61,0.45913529894066224
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.4759324683178702
75% Corpus,3,0.9099999999999999,symmetric,0.48335408851447353
75% Corpus,3,symmetric,0.01,0.4559673375957054
75% Corpus,3,symmetric,0.31,0.4300774815662889
75% Corpus,3,symmetric,0.61,0.36964034085590086
75% Corpus,3,symmetric,0.9099999999999999,0.37630720037126714
75% Corpus,3,symmetric,symmetric,0.4300774815662889
75% Corpus,3,asymmetric,0.01,0.42703119692328123
75% Corpus,3,asymmetric,0.31,0.2987095307163035
75% Corpus,3,asymmetric,0.61,0.2799650952755022
75% Corpus,3,asymmetric,0.9099999999999999,0.31995215055432064
75% Corpus,3,asymmetric,symmetric,0.2987095307163035
75% Corpus,4,0.01,0.01,0.4253043978866282
75% Corpus,4,0.01,0.31,0.43508285917401507
75% Corpus,4,0.01,0.61,0.3984127345605465
75% Corpus,4,0.01,0.9099999999999999,0.40656363210414265
75% Corpus,4,0.01,symmetric,0.4496012525281496
75% Corpus,4,0.31,0.01,0.40114535832868725
75% Corpus,4,0.31,0.31,0.383813796044128
75% Corpus,4,0.31,0.61,0.38445754782887837
75% Corpus,4,0.31,0.9099999999999999,0.38583011679281415
75% Corpus,4,0.31,symmetric,0.395734400269553
75% Corpus,4,0.61,0.01,0.4351364610775757
75% Corpus,4,0.61,0.31,0.41328410141814825
75% Corpus,4,0.61,0.61,0.40576266518696275
75% Corpus,4,0.61,0.9099999999999999,0.4270892761476898
75% Corpus,4,0.61,symmetric,0.4237195118208801
75% Corpus,4,0.9099999999999999,0.01,0.44540913721087166
75% Corpus,4,0.9099999999999999,0.31,0.47141730222961314
75% Corpus,4,0.9099999999999999,0.61,0.4533878794951084
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.4322271334505743
75% Corpus,4,0.9099999999999999,symmetric,0.473917132377274
75% Corpus,4,symmetric,0.01,0.3985514240785354
75% Corpus,4,symmetric,0.31,0.4089432510514382
75% Corpus,4,symmetric,0.61,0.37602521500086633
75% Corpus,4,symmetric,0.9099999999999999,0.3919610104843395
75% Corpus,4,symmetric,symmetric,0.41301043065429366
75% Corpus,4,asymmetric,0.01,0.3512162530283732
75% Corpus,4,asymmetric,0.31,0.36044033767832284
75% Corpus,4,asymmetric,0.61,0.33826453478884533
75% Corpus,4,asymmetric,0.9099999999999999,0.4567492911138859
75% Corpus,4,asymmetric,symmetric,0.3212420654067949
75% Corpus,5,0.01,0.01,0.4175701289669898
75% Corpus,5,0.01,0.31,0.4281390519812779
75% Corpus,5,0.01,0.61,0.4234613555050988
75% Corpus,5,0.01,0.9099999999999999,0.4286336442581134
75% Corpus,5,0.01,symmetric,0.4304684559480452
75% Corpus,5,0.31,0.01,0.38215243865414994
75% Corpus,5,0.31,0.31,0.4269916140000108
75% Corpus,5,0.31,0.61,0.44654703819592945
75% Corpus,5,0.31,0.9099999999999999,0.4094039430265233
75% Corpus,5,0.31,symmetric,0.40056420592811603
75% Corpus,5,0.61,0.01,0.38677550640620373
75% Corpus,5,0.61,0.31,0.35835939030588276
75% Corpus,5,0.61,0.61,0.35809567716760016
75% Corpus,5,0.61,0.9099999999999999,0.3626842111932516
75% Corpus,5,0.61,symmetric,0.37127535129047784
75% Corpus,5,0.9099999999999999,0.01,0.38875997380972815
75% Corpus,5,0.9099999999999999,0.31,0.3986158385358548
75% Corpus,5,0.9099999999999999,0.61,0.3842172858898267
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.40334252184298086
75% Corpus,5,0.9099999999999999,symmetric,0.4088933761493134
75% Corpus,5,symmetric,0.01,0.42400662451695703
75% Corpus,5,symmetric,0.31,0.43716944892073295
75% Corpus,5,symmetric,0.61,0.4337264858269034
75% Corpus,5,symmetric,0.9099999999999999,0.4229439439039682
75% Corpus,5,symmetric,symmetric,0.42534428444808714
75% Corpus,5,asymmetric,0.01,0.35011324194191296
75% Corpus,5,asymmetric,0.31,0.3108021506965758
75% Corpus,5,asymmetric,0.61,0.3743974802686621
75% Corpus,5,asymmetric,0.9099999999999999,0.41956941729947655
75% Corpus,5,asymmetric,symmetric,0.3270386390021921
75% Corpus,6,0.01,0.01,0.41412190563685886
75% Corpus,6,0.01,0.31,0.4076203763087885
75% Corpus,6,0.01,0.61,0.3792430970320191
75% Corpus,6,0.01,0.9099999999999999,0.3703200882351599
75% Corpus,6,0.01,symmetric,0.42163977645382383
75% Corpus,6,0.31,0.01,0.3869851676440128
75% Corpus,6,0.31,0.31,0.3945940463717488
75% Corpus,6,0.31,0.61,0.344917458163674
75% Corpus,6,0.31,0.9099999999999999,0.350375124755673
75% Corpus,6,0.31,symmetric,0.38756247957029927
75% Corpus,6,0.61,0.01,0.3774864192000033
75% Corpus,6,0.61,0.31,0.36383975534854907
75% Corpus,6,0.61,0.61,0.3497685897350727
75% Corpus,6,0.61,0.9099999999999999,0.31031899612487795
75% Corpus,6,0.61,symmetric,0.3783852682092444
75% Corpus,6,0.9099999999999999,0.01,0.4429280609730048
75% Corpus,6,0.9099999999999999,0.31,0.3903846333335874
75% Corpus,6,0.9099999999999999,0.61,0.40277343918273933
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4841584250820898
75% Corpus,6,0.9099999999999999,symmetric,0.40472284197984526
75% Corpus,6,symmetric,0.01,0.4058715480762775
75% Corpus,6,symmetric,0.31,0.38246722543441364
75% Corpus,6,symmetric,0.61,0.37646232123298223
75% Corpus,6,symmetric,0.9099999999999999,0.3691407049218352
75% Corpus,6,symmetric,symmetric,0.385725981040155
75% Corpus,6,asymmetric,0.01,0.368836902505092
75% Corpus,6,asymmetric,0.31,0.41379022345428557
75% Corpus,6,asymmetric,0.61,0.41632912523559473
75% Corpus,6,asymmetric,0.9099999999999999,0.4200546063629809
75% Corpus,6,asymmetric,symmetric,0.35417365393214334
75% Corpus,7,0.01,0.01,0.33388249115589913
75% Corpus,7,0.01,0.31,0.37418084223654047
75% Corpus,7,0.01,0.61,0.4009472119775187
75% Corpus,7,0.01,0.9099999999999999,0.3880465980514215
75% Corpus,7,0.01,symmetric,0.37042051824145433
75% Corpus,7,0.31,0.01,0.34315898591266875
75% Corpus,7,0.31,0.31,0.3748585181157223
75% Corpus,7,0.31,0.61,0.37934110442468494
75% Corpus,7,0.31,0.9099999999999999,0.3582114131424875
75% Corpus,7,0.31,symmetric,0.3480789791086717
75% Corpus,7,0.61,0.01,0.40208987159779463
